,CASES,DATE,NIS5,TX_ADM_DSTR_DESCR_FR,TX_ADM_DSTR_DESCR_NL,TX_DESCR_FR,TX_DESCR_NL,TX_PROV_DESCR_FR,TX_PROV_DESCR_NL,TX_RGN_DESCR_FR,TX_RGN_DESCR_NL,lat,lon
234,5,2020-03-08,11002.0,Arrondissement dAnvers,Arrondissement Antwerpen,Anvers,Antwerpen,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.26055097634139,4.358436586642045
235,<5,2020-03-08,11039.0,Arrondissement dAnvers,Arrondissement Antwerpen,Schilde,Schilde,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.257782441191274,4.581273381529641
236,<5,2020-03-08,11055.0,Arrondissement dAnvers,Arrondissement Antwerpen,Zoersel,Zoersel,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.25648167005883,4.67586381222396
237,<5,2020-03-08,12035.0,Arrondissement de Malines,Arrondissement Mechelen,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.06217610518179,4.536060925276519
238,<5,2020-03-08,13036.0,Arrondissement de Turnhout,Arrondissement Turnhout,Retie,Retie,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.25768729484904,5.087382220978584
239,<5,2020-03-08,21001.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Anderlecht,Anderlecht,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.82868388732737,4.291930327949199
240,<5,2020-03-08,21004.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Bruxelles,Brussel,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.85509855840431,4.375478353592151
241,<5,2020-03-08,21009.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Ixelles,Elsene,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8206837552817,4.375337541177958
242,<5,2020-03-08,21010.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Jette,Jette,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.87930215861145,4.31723998090662
243,<5,2020-03-08,21016.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Uccle,Ukkel,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.790307486703384,4.362242705536522
244,<5,2020-03-08,23003.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Beersel,Beersel,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.74771296474116,4.306270084447528
245,<5,2020-03-08,23025.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Grimbergen,Grimbergen,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.94585678072629,4.372110243267383
246,<5,2020-03-08,23062.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Overijse,Overijse,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.76820836120552,4.532695331577118
247,<5,2020-03-08,23077.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.788585374596074,4.243459909947893
248,<5,2020-03-08,23101.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Rhode-Saint-Genèse,Sint-Genesius-Rode,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.74414596017691,4.372754863455735
249,<5,2020-03-08,25091.0,Arrondissement de Nivelles,Arrondissement Nijvel,Rixensart,Rixensart,Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,,
250,<5,2020-03-08,31043.0,Arrondissement de Bruges,Arrondissement Brugge,Knokke-Heist,Knokke-Heist,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.33313177903215,3.3051149777803976
251,<5,2020-03-08,32003.0,Arrondissement de Dixmude,Arrondissement Diksmuide,Dixmude,Diksmuide,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.04572563741298,2.8475234236287768
252,<5,2020-03-08,33029.0,Arrondissement dYpres,Arrondissement Ieper,Wervik,Wervik,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.812004858919956,3.0529462297673047
253,<5,2020-03-08,33039.0,Arrondissement dYpres,Arrondissement Ieper,Heuvelland,Heuvelland,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.76823290232173,2.837645691972288
254,<5,2020-03-08,34022.0,Arrondissement de Courtrai,Arrondissement Kortrijk,Courtrai,Kortrijk,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.80285068809682,3.2787668385386124
255,<5,2020-03-08,34023.0,Arrondissement de Courtrai,Arrondissement Kortrijk,Kuurne,Kuurne,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.859682468480216,3.2711369822201823
256,<5,2020-03-08,35013.0,Arrondissement dOstende,Arrondissement Oostende,Ostende,Oostende,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.214156266254264,2.9217081760305716
257,<5,2020-03-08,36015.0,Arrondissement de Roulers,Arrondissement Roeselare,Roulers,Roeselare,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.94007511499766,3.1194018659781175
258,<5,2020-03-08,41018.0,Arrondissement dAlost,Arrondissement Aalst,Grammont,Geraardsbergen,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,50.782262798570464,3.9037518188623292
259,<5,2020-03-08,44083.0,Arrondissement de Gand,Arrondissement Gent,Deinze,Deinze,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,51.01773946396767,3.5315945169266962
